country,currency,numberrange,alphanumeric
Singapore,$96.96 ,8,LOH25KDW2YI
Sweden,$72.00 ,6,HLU46VYY1WW
Vietnam,$31.47 ,3,VSJ69OBF1JF
Poland,$63.73 ,5,MJF53IYH3LR
Italy,$32.16 ,8,XLB62LDR9VI
Poland,$49.74 ,2,HBC86OOK8QM
Ireland,$83.03 ,8,UTK85WMJ7DR
China,$52.86 ,1,LYN56UWH9BD
Belgium,$77.02 ,8,KRY74GHJ4MX
Colombia,$56.66 ,9,HSV94UIK1QJ
Brazil,$89.07 ,9,ELM97LZU8BZ
Peru,$63.19 ,3,RSC82YHB9BQ
India,$76.25 ,2,SWM45NOS8IG
Colombia,$64.72 ,8,SYX17MMU3AS
Singapore,$69.89 ,2,NWC37ESM3JT
Austria,$47.19 ,2,KBH88MJF7RD
Philippines,$52.59 ,1,HSG52GTS4PB
Colombia,$17.25 ,8,VEX28QVL6GD
Sweden,$50.75 ,3,UBJ84LOU0SD
Norway,$8.66 ,6,SIC43ZFI4MN
Philippines,$42.13 ,6,WGR52STG8WG
Costa Rica,$43.89 ,6,TJR59GNZ1SD
Vietnam,$61.08 ,8,OKJ67TKK3OH
South Korea,$82.96 ,2,MZD11KLI8UO
South Korea,$64.63 ,8,ILM71XKK8TS
India,$55.02 ,8,TVX86KDE3EH
Chile,$8.61 ,3,TSV33TLI1OS
Pakistan,$65.27 ,0,VJJ51HCK3SO
Poland,$58.40 ,0,XKA32CNZ4UH
Nigeria,$59.99 ,3,HUV63UHZ8KP
United Kingdom,$16.38 ,9,VPA88YCY6FV
Mexico,$52.21 ,9,IKV71TGL8KF
Indonesia,$70.73 ,2,IMJ51KJC7IB
Pakistan,$32.08 ,3,PNR20XAZ5LT
Austria,$17.66 ,3,CFR14CUD4KV
Singapore,$66.33 ,10,SEP06HIM3IQ
Ireland,$72.61 ,0,OUK35OHC2ED
Austria,$51.17 ,9,TLP94MPJ5SS
Sweden,$73.36 ,7,PKG13PWZ5YA
Russian Federation,$71.12 ,9,FNF13TNH6BU
Poland,$9.06 ,5,UFL14ONX5NV
Philippines,$55.52 ,5,LBL42TFR3EF
Italy,$50.54 ,5,PVT23HPG0UK
Ukraine,$75.15 ,5,PKA65BRL8ZX
Germany,$57.76 ,2,SSF50YMM2MM
South Korea,$45.19 ,8,CIB37ITW1QF
China,$66.03 ,2,TDI34IVL9KJ
Belgium,$65.31 ,1,LYO46OUH7XV
Norway,$50.94 ,5,GXE24RFT1HT
Norway,$27.52 ,0,BSV46RBH8YX
Singapore,$67.33 ,9,TQG65XWT2UB
Brazil,$92.53 ,0,XHM67LJV5RJ
Spain,$17.33 ,2,XVP37ZPG2JK
Australia,$41.24 ,0,DWX43RMC7QX
South Korea,$34.13 ,0,IXQ59TNK3AC
Mexico,$9.26 ,7,UUG21NEP6YK
Turkey,$25.59 ,1,SDW37ORK5WK
Sweden,$65.92 ,6,NIF12THN0DI
New Zealand,$77.93 ,4,UHI15JVR6XM
Belgium,$23.16 ,8,HNF45QNS5FT
China,$42.97 ,0,LWE81BOV3PJ
Pakistan,$36.99 ,8,UHN15RLF9JK
Russian Federation,$52.52 ,9,DUK86FTH5TJ
Italy,$9.95 ,5,UGW44LGM6RR
Australia,$31.55 ,9,WOW51JTG0CT
Spain,$23.08 ,2,CMD13EKY6QJ
Philippines,$96.16 ,7,CJA99RGD3ED
Germany,$33.03 ,0,PSZ21EIH2GV
Canada,$24.68 ,9,AHF18AEZ6YP
Chile,$42.57 ,6,YEY46WZR0JS
Peru,$9.17 ,10,FVB79VYQ6RB
United Kingdom,$42.93 ,5,NDE11BMK3TQ
Ireland,$94.54 ,4,EFM71CDM9DV
United Kingdom,$62.90 ,3,MRD72MQY6XA
Norway,$20.36 ,6,HFM25RGB8RY
Netherlands,$46.80 ,9,PAO15WWA3VN
Austria,$73.90 ,4,EOX25SGQ8HB
South Africa,$9.62 ,7,BBN53IKO0EO
Netherlands,$20.04 ,5,EME06TVW9XN
Austria,$86.25 ,4,JRF32FIN8QP
Indonesia,$38.58 ,1,LRG90HWL6EJ
Russian Federation,$31.89 ,5,HEX43WYI4XJ
Philippines,$85.32 ,3,GIG75IYL6JR
Indonesia,$6.64 ,7,DXV91KVS6PB
United States,$85.32 ,2,NCO71FUG5ZH
United States,$77.50 ,2,TXJ86PKA6FA
United Kingdom,$61.06 ,7,MEH48FWL1DS
Ireland,$67.51 ,1,PQK25JJL8IB
China,$25.19 ,6,DRO95QSP8YL
South Africa,$96.65 ,4,DJK26WQX0TP
Philippines,$93.93 ,5,WIN74FYU1VB
Netherlands,$82.66 ,1,SGC25QCF5FJ
Australia,$26.85 ,3,EQL94SHH4HB
Australia,$21.17 ,2,KKJ84ZFI7OG
Indonesia,$87.63 ,0,HMN44XIJ6FT
Australia,$30.38 ,3,EOH15IQR7HY
Indonesia,$19.89 ,4,FLO74MPJ2HK
Russian Federation,$37.27 ,0,EHL11LNH6MK
Austria,$71.06 ,6,UWH22BIL0MB
Australia,$53.87 ,9,VCS52UBC7BO
